id,sku_id,description,primary_image
27427474-d070-42bd-abc8-bb873a263c6f,10873,S/2 EIFFEL TOWER BOOKENDS,https://fileserver-g-p.sourcerer.tech/files/4b216178-e661-41cf-b216-444e646897ec
c676e576-1e2b-4c02-839e-0afc64be05f2,10874,"DECORATIVE CERAMIC PEANUT BOX,SILVER",https://fileserver-g-p.sourcerer.tech/files/121e4663-3c6c-4f39-91c3-6062ea1112f2
03fa6ba2-3aa5-4109-9a0c-54f1f11fbca0,10874-01,GOLD CERAMIC PEANUT BOX,https://fileserver-g-p.sourcerer.tech/files/2474246f-54c8-4a7d-ba75-2aab2b4fe474
35065a5b-71db-456b-9fc9-6515f51c460f,10875,"DECORATIVE CERAMIC VASE, SILVER",https://fileserver-g-p.sourcerer.tech/files/ad8dcc72-560b-41fd-8eea-b3208142bbc6
9691b662-a43f-4b30-be70-29c751c296e4,10876,"DECORATIVE CERAMIC VASE, WHITE/BLUE",https://fileserver-g-p.sourcerer.tech/files/d3494f9f-93db-4bef-ba3b-128ab1a1ba11
a9a2d934-d12f-4ffd-9975-610c0835ebbd,10877,"DECORATIVE CERAMIC VASE, WHITE/BLUE",https://fileserver-g-p.sourcerer.tech/files/3f4bce5c-f4b6-4bef-805c-61e069213b8e
23de4ad7-c7ad-4644-8fb3-36130b31cce8,10878,"DECORATIVE CERAMIC VASE W/CUTOUTS, GOLD",https://fileserver-g-p.sourcerer.tech/files/b610c359-2bd2-4662-92b9-0351c5f08fb9
63697f1c-ba9c-45af-a05b-f6fa50ad44f0,10879,"DECORATIVE CERAMIC VASE W/CUTOUTS, GOLD",https://fileserver-g-p.sourcerer.tech/files/4c3922fe-3ddf-4bfa-9f09-4991fdb0f7eb
d68749d6-7b7a-4dcc-8615-1c7d10b932de,10880,"DECORATIVE CERAMIC VASE, GOLD",https://fileserver-g-p.sourcerer.tech/files/e00aae96-1f27-4740-b57f-1e453c51cf13
6f651a51-54a1-4c31-b3d2-81ba27e71854,10881,"DECORATIVE CERAMIC VASE, GOLD",https://fileserver-g-p.sourcerer.tech/files/d91c6ada-d479-4e47-ac86-9fc97259f5ab
deba45da-a557-4a6c-952d-4c82cb12272b,10882,"DECORATIVE CERAMIC VASE, GOLD",https://fileserver-g-p.sourcerer.tech/files/67b80423-6f12-4f13-849c-a82e4f74bca4
b8985bf5-196c-4711-9b55-d1462b79889f,10883,"ANTIQUE SILVER CERAMIC VASE 11.5""",https://fileserver-g-p.sourcerer.tech/files/8822568d-6e35-4fc9-8305-dabe255fef04
14f2f865-f061-49dc-a930-5632b876286f,10884,"ANTIQUE SILVER CERAMIC VASE 7.2""5",https://fileserver-g-p.sourcerer.tech/files/873e7e42-2d2d-493a-9643-ae2fe5f84937
2b2ef604-c5a4-43da-a18e-d6af270d1b5a,10885,ANTIQUE SILVER CERAMIC VASE 9,https://fileserver-g-p.sourcerer.tech/files/daa13c00-6e00-43f4-9d2b-0390580a87c6
d461581e-d65b-4d42-b650-cf6480fa4bf1,10886,"WHITE CERAMIC LEAF VASE 11""",https://fileserver-g-p.sourcerer.tech/files/cc976fe7-1dce-4e00-a859-b7f181b9a92b
41823ec8-25ac-4462-8d7d-888061820e27,10887,"WHITE CERAMIC LEAF VASE 13.75""",https://fileserver-g-p.sourcerer.tech/files/6a41bd09-0ce2-4196-9fc9-ea9edabb7ae9
1b16e13b-aa3f-42c4-8e15-986bc0523cf2,10888,"TRIPLE OWL VASE, TURQUOISE",https://fileserver-g-p.sourcerer.tech/files/bc4b47c6-8e4b-4d64-995b-db1315595e9e
66ffcb12-25ee-4ec6-b386-989d56730498,10889,SILVER CERAMIC PIG,https://fileserver-g-p.sourcerer.tech/files/440dfb6b-440f-441d-96c4-c24e9ebca8a3
a20ceade-2e46-4036-90d9-eb8ee1d24c27,10890,GOLD CERAMIC PIG,https://fileserver-g-p.sourcerer.tech/files/477ee1f8-eee4-425c-a0a2-163aaebdd7c7
b46156e8-184f-4a86-ae58-ae44c9c917ce,10891,BRONZE CERAMIC PIG,https://fileserver-g-p.sourcerer.tech/files/77a54f9c-f87c-415c-8e33-c57a74e315b3
e7a1b3e7-50ce-48d9-ab01-96b6c9ff868a,10892,WHITE CERAMIC PIG,https://fileserver-g-p.sourcerer.tech/files/7cfbbaba-3736-4bad-b6fc-0e98b1aae777
1dc83abb-c30e-4ad0-b408-1e79091a7345,10893,BLACK CERAMIC PIG,https://fileserver-g-p.sourcerer.tech/files/d6576f99-c26b-4486-b915-d5675d4e5aba
66de2773-8383-4203-af0b-473fda70e763,10895,"CERAMIC PHOTO FRAME, ANTIQUE GREEN",https://fileserver-g-p.sourcerer.tech/files/f4be3717-de76-459a-95f6-f7e5511a48c1
9776e913-9e04-4656-9532-e5deba1f10fe,10896,"CERAMIC PHOTO FRAME, WHITE",https://fileserver-g-p.sourcerer.tech/files/67b96792-0da3-43a0-86bc-690914440a6b
52045cab-a6c0-4dcb-9e15-266161efde89,10897,"CERAMIC PHOTO FRAME, SILVER",https://fileserver-g-p.sourcerer.tech/files/ef4321f1-4712-4b6e-b0cf-54f658224016
20c8015c-9e73-4959-9718-a62fcb112508,10898,"CERAMIC PHOTO FRAME, SILVER",https://fileserver-g-p.sourcerer.tech/files/5ee06dec-3ea2-4d15-90bd-27e927936d6d
346740f3-8a8d-4a3b-8843-287e16264f67,10899,"CERAMIC PHOTO FRAME, ANTIQUE WHITE",https://fileserver-g-p.sourcerer.tech/files/2bd2661e-8cf4-4bea-8d3b-46c98fdf705b
d4337adf-e948-4fd3-8504-b0166168e393,10900,WHITE CERAMIC BUDDHA HEAD,https://fileserver-g-p.sourcerer.tech/files/54ab2543-096c-4e44-966f-5b6a632605fc
c986eef9-f864-4e2d-b6ce-2d510904d590,10901,"10"", WHITE CERAMIC SEATED BUDDHA",https://fileserver-g-p.sourcerer.tech/files/3e48926f-5a49-40fc-831f-d5f5f2f4229d
c5b1be2e-9eac-4029-bf79-3ffb9293a35d,10901-01,"10"", BLACK CERAMIC SEATED BUDDHA",https://fileserver-g-p.sourcerer.tech/files/09b2035a-745e-4e22-b7d1-dd7b77907281
ded41a12-7246-4937-9661-a913498616f4,10901-02,"10”, NAVY BLUE CERAMIC SEATED BUDDHA",https://fileserver-g-p.sourcerer.tech/files/292d243a-ad9d-4254-815b-50c54981af51
963d2fa9-0f86-4de9-b5a7-30e33c3a5fa8,10902,SILVER CERAMIC @ SYMBOL,https://fileserver-g-p.sourcerer.tech/files/61235194-d701-41ae-8b6f-1c6031f07c2d
a2675944-fc93-4925-ae86-b0e57e30cff6,10904,GOLD WIRE WALL DECOR 31.75,https://fileserver-g-p.sourcerer.tech/files/dd9d49ca-7114-4cf5-9225-26ad914f6fbf
aa642224-d970-4fea-a2a1-5d486038c5bf,10905,GOLD WIRE WALL DECOR 30,https://fileserver-g-p.sourcerer.tech/files/19fd37db-06a8-4a42-9473-a7bd4830137a
447f21e6-9576-4e3b-a80b-c371eca49363,10906,BE BRAVE WALL ART,https://fileserver-g-p.sourcerer.tech/files/a965d15e-637b-4ba3-a597-c64525ed78ca
5e7ce1fc-6cbd-497e-afac-a168ea7ac97c,10906D,WOODEN WALL ART,https://fileserver-g-p.sourcerer.tech/files/7ae6b4d2-bfc1-4820-8194-6a6ba6e9965e
